nodeName	altName	nodeAttr[nodesPresent, ]
Q27J81	NA	turquoise
Q2WGJ9	NA	blue
Q3LXA3	NA	blue
Q4G0F5	NA	turquoise
Q4KMQ2	NA	blue
Q4LDE5	NA	turquoise
Q53TN4	NA	turquoise
Q562R1	NA	turquoise
Q5D862	NA	turquoise
Q5JSH3	NA	turquoise
Q5JTZ9	NA	blue
Q5JWF2	NA	turquoise
Q5SQ64	NA	blue
Q5T0N5	NA	blue
Q5T3F8	NA	turquoise
Q5T5C0	NA	blue
Q5T749	NA	turquoise
Q5T750	NA	turquoise
Q5VW32	NA	turquoise
Q658P3	NA	turquoise
Q684P5	NA	blue
Q6IAA8	NA	turquoise
Q6KB66	NA	turquoise
Q6N021	NA	blue
Q6PJF5	NA	blue
Q6UB99	NA	turquoise
Q6UWD8	NA	turquoise
Q6UWL2	NA	turquoise
Q6UX06	NA	turquoise
Q6VVX0	NA	turquoise
Q6XQN6	NA	blue
Q6YHK3	NA	blue
Q6ZU15	NA	turquoise
Q6ZUX7	NA	turquoise
Q6ZVM7	NA	turquoise
Q7KZF4	NA	blue
Q7L576	NA	turquoise
Q7L9L4	NA	blue
Q7LDG7	NA	blue
Q7Z4I7	NA	blue
Q7Z794	NA	turquoise
Q7Z7G0	NA	turquoise
Q86T03	NA	turquoise
Q86UF1	NA	turquoise
Q86UX7	NA	turquoise
Q86VP6	NA	blue
Q86WI1	NA	turquoise
Q86Y46	NA	blue
Q86Y82	NA	blue
Q86YZ3	NA	blue
Q8IUI8	NA	blue
Q8IVB4	NA	blue
Q8IWU2	NA	blue
Q8IY22	NA	blue
Q8N128	NA	turquoise
Q8N1N4	NA	turquoise
Q8N4L2	NA	turquoise
Q8N5J2	NA	blue
Q8N699	NA	turquoise
Q8N9U0	NA	turquoise
Q8NBF2	NA	blue
Q8NBS9	NA	blue
Q8NE00	NA	turquoise
Q8NEU8	NA	blue
Q8NG06	NA	turquoise
Q8NG11	NA	turquoise
Q8NHG7	NA	turquoise
Q8TCU6	NA	blue
Q8TEA8	NA	blue
Q8WUM4	NA	blue
Q8WVM8	NA	blue
Q8WWI5	NA	turquoise
Q92542	NA	turquoise
Q92619	NA	blue
Q92734	NA	turquoise
Q92783	NA	turquoise
Q92882	NA	turquoise
Q92930	NA	blue
Q93050	NA	turquoise
Q93084	NA	blue
Q969P0	NA	turquoise
Q969T9	NA	blue
Q969X1	NA	turquoise
Q96A65	NA	turquoise
Q96AP7	NA	turquoise
Q96BS2	NA	blue
Q96BY6	NA	blue
Q96C24	NA	blue
Q96DZ9	NA	turquoise
Q96FW1	NA	blue
Q96FZ7	NA	turquoise
Q96G03	NA	blue
Q96HN2	NA	blue
Q96IU4	NA	blue
Q96KP4	NA	blue
Q96MK2	NA	turquoise
Q96PL5	NA	turquoise
Q96QA5	NA	turquoise
Q96QS1	NA	turquoise
Q96RI0	NA	blue
Q96RT1	NA	turquoise
Q96S97	NA	turquoise
Q96SJ8	NA	turquoise
Q99497	NA	blue
Q99685	NA	blue
Q99719	NA	blue
Q99747	NA	blue
Q99805	NA	turquoise
Q99816	NA	turquoise
