fromNode	toNode	weight	direction	fromAltName	toAltName
A0M8Q6	P02751	0.116252303663671	undirected	NA	NA
A0M8Q6	P02760	0.364534625541646	undirected	NA	NA
A0M8Q6	P02765	0.24824888925668	undirected	NA	NA
A0M8Q6	P02766	0.27530303573716	undirected	NA	NA
A0M8Q6	P02775	0.279187240491948	undirected	NA	NA
A0M8Q6	P02790	0.407024692176389	undirected	NA	NA
A0M8Q6	P04004	0.410251752983746	undirected	NA	NA
A0M8Q6	P04040	0.494948204052199	undirected	NA	NA
A0M8Q6	P04075	0.314474681864154	undirected	NA	NA
A0M8Q6	P04439	0.158420150105797	undirected	NA	NA
A0M8Q6	P04632	0.17526223390103	undirected	NA	NA
A0M8Q6	P04792	0.29580076005675	undirected	NA	NA
A0M8Q6	P05023	0.323130556893518	undirected	NA	NA
A0M8Q6	P05106	0.214521475669642	undirected	NA	NA
A0M8Q6	P05452	0.390261233317491	undirected	NA	NA
A0M8Q6	P05556	0.34541441920551	undirected	NA	NA
A0M8Q6	P05771	0.289481654277207	undirected	NA	NA
A0M8Q6	P06703	0.191200130762009	undirected	NA	NA
A0M8Q6	P06729	0.303679137362146	undirected	NA	NA
A0M8Q6	P06737	0.0883962967572002	undirected	NA	NA
A0M8Q6	P06744	0.389459306964011	undirected	NA	NA
A0M8Q6	P06756	0.192969258310935	undirected	NA	NA
A0M8Q6	P07195	0.388632239173595	undirected	NA	NA
A0M8Q6	P07203	0.0935932660665315	undirected	NA	NA
A0M8Q6	P07237	0.0859720628506605	undirected	NA	NA
A0M8Q6	P07357	0.365365750077787	undirected	NA	NA
A0M8Q6	P07359	0.266828246299623	undirected	NA	NA
A0M8Q6	P07384	0.403876773655239	undirected	NA	NA
A0M8Q6	P07741	0.048462429759935	undirected	NA	NA
A0M8Q6	P07948	0.410489266092081	undirected	NA	NA
A0M8Q6	P08195	0.482831855404374	undirected	NA	NA
A0M8Q6	P08238	0.173511617484978	undirected	NA	NA
A0M8Q6	P08514	0.199423025965155	undirected	NA	NA
A0M8Q6	P08603	0.29849923248169	undirected	NA	NA
A0M8Q6	P08648	0.443414915831788	undirected	NA	NA
A0M8Q6	P08697	0.357429169101135	undirected	NA	NA
A0M8Q6	P08758	0.224157480037429	undirected	NA	NA
A0M8Q6	P09104	0.039423204657828	undirected	NA	NA
A0M8Q6	P09972	0.364027551688402	undirected	NA	NA
A0M8Q6	P0CG38	0.471921805213881	undirected	NA	NA
A0M8Q6	P0DMN0
P0DMM9	0.444465818629648	undirected	NA	NA
A0M8Q6	P0DOX6	0.492862350253883	undirected	NA	NA
A0M8Q6	P0DP04	0.414026343356165	undirected	NA	NA
A0M8Q6	P0DP25
P0DP24
P0DP23	0.417050657549229	undirected	NA	NA
A0M8Q6	P10599	0.403273037914446	undirected	NA	NA
A0M8Q6	P10644	0.247897907454866	undirected	NA	NA
A0M8Q6	P10768	0.046599029636865	undirected	NA	NA
A0M8Q6	P11142	0.238797830447895	undirected	NA	NA
A0M8Q6	P11216	0.263567614342049	undirected	NA	NA
A0M8Q6	P11277	0.239920840093906	undirected	NA	NA
A0M8Q6	P11413	0.380791511032229	undirected	NA	NA
A0M8Q6	P11586	0.0691548676221213	undirected	NA	NA
A0M8Q6	P11766	0.180361642287548	undirected	NA	NA
A0M8Q6	P12259	0.276043280470054	undirected	NA	NA
A0M8Q6	P12814	0.235476922460147	undirected	NA	NA
A0M8Q6	P12955	0.167243427894142	undirected	NA	NA
