nodeName	altName	nodeAttr[nodesPresent, ]
Q99828	NA	turquoise
Q9BS26	NA	green
Q9BSJ8	NA	green
Q9BUL8	NA	turquoise
Q9BV40	NA	turquoise
Q9BX10	NA	turquoise
Q9BZQ8	NA	turquoise
Q9C0H2	NA	turquoise
Q9H0E2	NA	turquoise
Q9H0U4	NA	green
Q9H223	NA	turquoise
Q9H3S7	NA	turquoise
Q9H3U5	NA	turquoise
Q9H4G4	NA	turquoise
Q9H4M9	NA	turquoise
Q9H7M9	NA	turquoise
Q9HAV0	NA	turquoise
Q9HBI1	NA	turquoise
Q9HC38	NA	turquoise
Q9HC84	NA	turquoise
Q9HCY8	NA	turquoise
Q9HD42	NA	turquoise
Q9NP58	NA	turquoise
Q9NP59	NA	turquoise
Q9NP79	NA	turquoise
Q9NQ34	NA	turquoise
Q9NQ84	NA	turquoise
Q9NQC3	NA	turquoise
Q9NR34	NA	turquoise
Q9NRW1	NA	turquoise
Q9NSB2	NA	turquoise
Q9NVA2	NA	turquoise
Q9NVJ2	NA	turquoise
Q9NW13	NA	turquoise
Q9NX76	NA	turquoise
Q9NY33	NA	turquoise
Q9NZN3	NA	turquoise
Q9P0L0	NA	green
Q9P0T7	NA	turquoise
Q9P126	NA	turquoise
Q9P1Z2	NA	turquoise
Q9UBV8	NA	turquoise
Q9UEU0	NA	turquoise
Q9UHG3	NA	turquoise
Q9UIB8	NA	turquoise
Q9UIQ6	NA	turquoise
Q9UKE5	NA	turquoise
Q9UL25	NA	turquoise
Q9UL54	NA	turquoise
Q9ULI3	NA	turquoise
Q9ULV4	NA	green
Q9UNF0	NA	turquoise
Q9UNS2	NA	turquoise
Q9Y251	NA	turquoise
Q9Y257	NA	turquoise
Q9Y2A7	NA	turquoise
Q9Y2X9	NA	turquoise
Q9Y3P8	NA	turquoise
Q9Y4D1	NA	turquoise
Q9Y613	NA	turquoise
Q9Y624	NA	turquoise
Q9Y6C2	NA	turquoise
Q9Y6E0	NA	turquoise
Q9Y6R7	NA	turquoise
Q9Y6W5	NA	turquoise
